Published Date,title,ip_id,Link
1987-07-23,"ENVIRONMENT AND DEVELOPMENT : EXTRACTS FROM A SPEECH BY COMMISSIONER STANLEY CLINTON DAVIS AT THE PLACEMAKERS' LUNCHEON CLUB, LONDON JULY 23 1987",ip_87_318,https://ec.europa.eu/commission/presscorner/detail/en/ip_87_318
1988-03-24,"HIGH ENVIRONMENTAL STANDARDS ARE ESSENTIAL FOR ECONOMIC PROGRESS : EXTRACTS FROM THE SPEECH BY MR STANLEY CLINTON DAVIS AT THE INTERNATIONAL CONFERENCE ON THE ENVIRONMENT AND DEVELOPMENT - MILAN, 24 MARCH 1988",ip_88_177,https://ec.europa.eu/commission/presscorner/detail/en/ip_88_177
1989-03-09,EUROPEAN DEVELOPMENT FUND,ip_89_152,https://ec.europa.eu/commission/presscorner/detail/en/ip_89_152
1989-12-19,DEVELOPMENT PROJECTS IN ASIA AND LATIN AMERICA,ip_89_977,https://ec.europa.eu/commission/presscorner/detail/en/ip_89_977
1990-06-11,VICE-PRESIDENT CHRISTOPHERSEN ON THE ECONOMIC SITUATION IN THE COMMUNITY AND THE FORECASTS FOR 1990 AND 1991 : OVERALL A SATISFACTORY OUTLOOK,ip_90_457,https://ec.europa.eu/commission/presscorner/detail/en/ip_90_457
1990-10-31,"""THE ROAD TO ECONOMIC AND MONETARY UNION"" : SPEECH BY SIR LEON BRITTAN TO THE BRITISH CHAMBER OF COMMERCE IN GERMANY",ip_90_876,https://ec.europa.eu/commission/presscorner/detail/en/ip_90_876
1991-03-22,SUBSIDIARITY AND ECONOMIC AND MONETARY UNION,ip_91_248,https://ec.europa.eu/commission/presscorner/detail/en/ip_91_248
1991-04-19,"EASTERN AND CENTRAL EUROPE: THE TASK AHEAD - EXTRACT FROM A SPEECH BY SIR LEON BRITTAN TO THE BRADFORD CHAMBER OF COMMERCE, 19TH APRIL 1991",ip_91_328,https://ec.europa.eu/commission/presscorner/detail/en/ip_91_328
1991-12-05,"EXTRACTS FROM THE OPENING ADDRESS BY MR CARLO RIPA DI MEANA AT THE CONFERENCE ""THE INTERNAL MARKET AND THE ENVIRONMENT"" - BRUSSELS, 5 DECEMBER 1991",ip_91_1096,https://ec.europa.eu/commission/presscorner/detail/en/ip_91_1096
1992-02-28,COMPETITION POLICY AND REGIONAL DEVELOPMENT : EXTRACTS OF A SPEECH BY SIR LEON BRITTAN,ip_92_137,https://ec.europa.eu/commission/presscorner/detail/en/ip_92_137
