Published Date,title,ip_id,Link
2001-01-24,Commission assesses the updated Austrian stability programme (2000-2004),ip_01_98,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_98
2001-01-24,Commission assesses updated United Kingdom Convergence Programme (2000-2005),ip_01_99,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_99
2001-01-23,Structural funds - Commission approves  970 million support for the region of North Rhein-Westphalia,ip_01_85,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_85
2001-01-23,Structural funds - Commission approves  734 million support for the region of Niedersachsen,ip_01_86,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_86
2001-01-12,Commission agrees 401 m Cohesion Fund package for Ireland,ip_01_44,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_44
2001-01-11,Commission approves EUR 675.9 million programme for Upper Normandy (France),ip_01_24,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_24
2001-01-11,Commission approves EUR 433 million in assistance for the Franche-Comté Region (France),ip_01_21,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_21
2001-01-11,"Commission approves EUR 1,338.1 million programme of assistance for Provence-Alpes-Côte d'Azur (France)",ip_01_19,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_19
2001-01-11,Commission approves EUR 1 276 million assistance package for Nord-Pas-de-Calais (France),ip_01_13,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_13
2001-01-11,Commission adopts a decision in principle on an aid programme worth EUR 868.7 million for the Burgundy Region (France),ip_01_11,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_11
2001-01-11,"Commission approves EUR 1,583.8 million in assistance for the Rhône-Alps Region (France)",ip_01_10,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_10
2001-01-11,Commission approves EUR 1 411.3 million in assistance for Brittany (France),ip_01_25,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_25
2001-01-11,Commission approves EUR 786 million in assistance for the Lower Normandy Region (France),ip_01_26,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_26
2001-01-11,Commission approves EUR 339.6 million assistance package for Alsace (France),ip_01_27,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_27
2001-01-11,"Commission approves EUR 1,493.2 million in assistance for the Auvergne Region of France",ip_01_8,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_8
2001-01-11,"Commission approves EUR 1,138.7 million in assistance for the Picardy Region (France)",ip_01_9,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_9
2001-01-10,Commission assesses updated Swedish convergence programme (2000-2003),ip_01_37,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_37
2001-02-27,Structural funds - Commission approves  483 million for Western Scotland,ip_01_259,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_259
2001-02-27,Structural funds - Commission approves  854 million for the West Midlands,ip_01_262,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_262
2001-02-27,Structural funds - Commission approves  808 million for North West England,ip_01_264,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_264
2001-02-21,Commission proposes a new framework programme for research and innovation in Europe,ip_01_240,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_240
2001-02-19,Informal Industry Ministerial in Manchester to discuss EU Enterprise Policy Targets Plan,ip_01_229,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_229
2001-02-07,The Commission sets ten key priorities for Stockholm to promote growth and employment,ip_01_170,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_170
2001-03-22,Commission launches 1514 million programme of support for building sustainable prosperity in Northern Ireland,ip_01_433,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_433
2001-03-16,Commission approves 1.85 billion in development assistance for the Canaries (Spain),ip_01_398,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_398
2001-03-15,Commission approves a development programme worth EUR 1 390 million for Central Macedonia (Greece),ip_01_374,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_374
2001-03-12,Structural Funds: Commission approves an Operational Programme of EUR 1.97 billion to support Competitiveness in Greece,ip_01_350,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_350
2001-04-25,Commission presents economic forecasts for the candidate countries (2001-2002),ip_01_595,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_595
2001-04-25,The 2001 Broad Economic Policy Guidelines,ip_01_596,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_596
2001-04-17,Commission calls for EU Institutions and Member States to work together to improve Internal Market performance,ip_01_564,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_564
2001-04-10,Structural Funds - Commission approves  730 million package for Crete (Greece),ip_01_533,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_533
2001-04-10,Structural Funds: Commission approves  680 million in assistance for the region of Epirus (Greece),ip_01_536,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_536
2001-04-10,"Structural funds - Commission approves  873 million support for Continental Greece (""Sterea Ellas"")",ip_01_537,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_537
2001-04-10,Commission approves  581 million assistance for West Macedonia (Greece),ip_01_540,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_540
2001-04-10,Structural Funds: Commission approves  698.7 million assistance for the Peloponnese (Greece),ip_01_542,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_542
2001-04-10,Structural funds - Commission approves  929 million support for Thessaly (Greece),ip_01_543,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_543
2001-05-28,Internal Market: Scoreboard reveals mixed performance by Member States,ip_01_750,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_750
2001-05-22,Structural Funds: The Commission approves aid of Euro 1534 million for the region of Attica (Greece),ip_01_728,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_728
2001-05-21,Structural Funds: The Commission approves a  1 179 million programme for West Berlin (Germany),ip_01_723,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_723
2001-05-17,EU acts to integrate Least Developed Countries into world trading system,ip_01_714,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_714
2001-05-15,New communication on EU-China relations ahead of Commissioner Patten's visit to China,ip_01_700,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_700
2001-06-29,Economic impact of enlargement to central and eastern Europe  a positive-sum game for all,ip_01_921,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_921
2001-06-27,Is the commitment to sound public finances robust enough in Europe?,ip_01_900,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_900
2001-06-19,Structural Funds: the Commission approves an assistance programme of 47.535 million for Vienna (Austria),ip_01_860,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_860
2001-06-11,Commission Enterprise Advisory Group meets for the first time,ip_01_813,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_813
2001-06-05,Commission approves a Euro 33.9 million plan for Ireland labour market.,ip_01_779,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_779
2001-07-26,Brussels round table on food and agriculture: European Commission wants to take better account of the public's ethical and ecological concerns,ip_01_1113,https://ec.europa.eu/commission/presscorner/detail/en/ip_01_1113
