Published Date,Title,IP ID,Link
1997-01-08,"European Commission / World Bank to host preparatory donors meeting for Bosnia and Herzegovina - January 9-10, 1997",ip_97_7,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_7
1997-02-25,European Commission and World Bank co-operation in Africa moves into a higher gear,ip_97_153,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_153
1997-02-19,Industrial regions in Emilia-Romagna and Tuscany to receive aid of ECU 173.101 million,ip_97_134,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_134
1997-02-04,"Commission proposes exceptional financial assistance to Armenia, Georgia and Tajikistan",ip_97_83,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_83
1997-02-26,The Commission presents Ambitious Proposal for a Water Framework Directive,ip_97_164,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_164
1997-02-26,ECU 2.5 billion for industrial areas in the United Kingdom,ip_97_165,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_165
1997-02-12,The Commission presents its views on the content and objectives of the 5th Framework Programme for Research,ip_97_119,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_119
1997-03-12,Social Protection in the European Union: modernisation and improvement,ip_97_208,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_208
1997-03-11,Commissioner Bjerregaard welcomes Consultative Forum on the Environment's  recommentadions on scenarios for a sustainable Europe in the year 2020,ip_97_200,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_200
1997-03-26,The European Commission proposes to enhance EU support to heavily indebted poor ACP States,ip_97_249,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_249
1997-03-20,Tropical forest : new European Commission guidelines for cooperation with developing countries,ip_97_238,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_238
1997-03-18,EU-Madagascar cooperation:  ECU 218.5 million for five years,ip_97_228,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_228
1997-03-12,Commission adopts strategy and two specific actions to combat acidification,ip_97_205,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_205
1997-04-23,The Economic Situation in the European Union,ip_97_331,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_331
1997-04-21,Country report on Portugal,ip_97_327,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_327
1997-04-09,Commission Supports Industrial Conversion in Limburg and Turnhout (B),ip_97_276,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_276
1997-04-09,COMMISSION SUPPORTS RECONVERSION IN 8 ITALIAN REGIONS IN INDUSTRIAL DECLINE,ip_97_278,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_278
1997-04-23,An overall view of energy policy and actions,ip_97_330,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_330
1997-04-09,The Commission is proposing a break in European research policy with the fifth framework programme,ip_97_283,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_283
1997-04-30,COMMISSION ADOPTS RIGOROUS PRELIMINARY DRAFT BUDGET FOR 1998,ip_97_367,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_367
1997-05-21,President Santer nominates the members of the second Competitiveness Advisory Group (CAG II),ip_97_425,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_425
1997-05-30,MEDA - ECU 31 million for projects in Syria,ip_97_464,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_464
1997-05-20,Commission appoints members of the European Consultative Forum on the Environment and Sustainable Development,ip_97_421,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_421
1997-05-14,The energy dimension of climate change,ip_97_397,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_397
1997-06-17,Commission reassures Russia of the benefits of WTO membership,ip_97_524,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_524
1997-06-25,Commissioner PINHEIRO meets UN Secretary General Kofi ANNAN,ip_97_560,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_560
1997-06-05,World Environment Day,ip_97_489,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_489
1997-06-03,International energy cooperation through the SYNERGY Programme- Review of activities 1994-1996,ip_97_474,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_474
1997-06-02,"Inaugural session of the European Green Forum on 5 June: "" A commitment for the future""",ip_97_466,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_466
1997-06-10,Commission issues Green Paper on Supplementary Pensions in the Single Market,ip_97_507,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_507
1997-07-23,"Commission adopts a Communication on the Social and Labour Market Dimension of the Information Society ""People First - The Next Steps""",ip_97_681,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_681
1997-07-16,"Commission publishes its communication ""Agenda 2000: For a stronger and wider Europe""",ip_97_660,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_660
1997-07-15,Commission proposes deepening relations with Turkey,ip_97_652,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_652
1997-07-18,LIFE II Programme : the European Commission co-finances 188 new projects for the protection of the environment in 1997,ip_97_668,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_668
1997-07-15,Third report on Community actions affecting tourism (1995-1996),ip_97_655,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_655
1997-07-11,The Commission renews its commitment to integrate the environment in its policy-making,ip_97_636,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_636
1997-08-11,EUROPEAN PARLIAMENT RECEIVES AN INDEPENDENT EVALUATION OF PHARE AND TACIS,ip_97_748,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_748
1997-09-09,The Commission finances the creation of 31 energy agencies in 1997,ip_97_781,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_781
1997-09-04,Report on Forest Condition in Europe,ip_97_773,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_773
1997-09-29,"A balanced and sustainable development of tourism at the service of employmentMessage of Commissioner Christos Papoutsis on ""World Tourism Day 1997""",ip_97_818,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_818
1997-10-01,"Employment in Europe: Countdown to the Jobs Summit, 20-21 November 1997",ip_97_835,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_835
1997-10-31,A European approach to exploit tourism's potential for job creation,ip_97_936,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_936
1997-10-21,Should Europe develop an independent satellite navigation system?,ip_97_900,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_900
1997-10-08,Consolidated Report on BSE: the Commission answers to 75 key questions on consumer health made by the European Parliament,ip_97_858,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_858
1997-10-01,The Commission adopts Communication on Climate Change - The EU Approach for Kyoto,ip_97_829,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_829
1997-11-25,Employment growth through the very small enterprises - Fifth Annual Report of the European Observatory for SMEs,ip_97_1031,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_1031
1997-11-18,Building a sustainable Europe: Commission adopts a communication on Environment and Employment,ip_97_1003,https://ec.europa.eu/commission/presscorner/detail/en/ip_97_1003
